"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/08-00:21:35 - Trial_118","finished","-","","","2024-11-08T06:19:07.000Z","28","","false","96","51","448","0.000019471614853633543","1.5771735094463692","RMSprop","5","0.000028579427610966603","31","0.8072186836518047","0.7279869861577821","0.7357361444187791","0.7215329447526797","0.5089673089981079","0.8770341021649922","0.8347757310639377","0.832937779715591","0.8366722870234691","0.38558393958452586"
"11/08-00:21:35 - Trial_117","finished","-","","","2024-11-08T06:18:42.000Z","23","","true","96","51","448","0.000028859836437269385","1.295754744581065","RMSprop","5","0.000019271199838719095","21","0.8008492569002124","0.7328705648634078","0.7269035451751875","0.7400599025463064","0.5607824397087097","0.8668459034951181","0.8272312670849857","0.8167070015880934","0.8404195418823078","0.4282995567128465"
"11/08-00:21:35 - Trial_116","finished","-","","","2024-11-08T06:18:19.000Z","21","","true","96","53","448","0.000014167114426255878","2.440763320795446","RMSprop","7","0.0000996902630726531","18","0.7639065817409767","0.4348364306876334","0.8819031435853866","0.5008976660682226","0.4995580840110779","0.753643696052073","0.429758734769628","0.3768218480260365","0.5","0.4996710419654846"
"11/08-00:21:35 - Trial_115","finished","-","","","2024-11-08T06:17:54.000Z","23","","true","64","54","448","0.0000350772447906512","1.2275868194940596","RMSprop","5","0.00004018410897265916","18","0.797027600849257","0.7297522446823834","0.7240844959746449","0.736565920120406","0.5900675646356635","0.8829772180557521","0.8490073717430768","0.8357706516404386","0.8663436584843218","0.4045786720675391"
"11/08-00:21:35 - Trial_114","finished","-","","","2024-11-08T06:17:19.000Z","33","","true","96","56","448","0.000018245218115012585","1.1470294482991088","RMSprop","6","0.00008463132429037486","39","0.7949044585987262","0.7183126669590527","0.7099287749287749","0.7294634589912763","0.5826766133308411","0.8682609310881563","0.8335826920538303","0.8198303039794892","0.8527221784848542","0.4442397070092124"
"11/08-00:21:35 - Trial_113","finished","-","","","2024-11-08T06:16:44.000Z","33","","true","64","59","448","0.00001497070646117239","1.2756402789435437","RMSprop","6","0.00005903274341699897","34","0.7949044585987262","0.7223263106784503","0.718978747786428","0.7260431531876634","0.5719163909151748","0.872081505589359","0.8342283376874366","0.8229063592692558","0.8485929075825512","0.4231839088706283"
"11/08-00:21:35 - Trial_112","finished","-","","","2024-11-08T06:16:13.000Z","29","","true","96","57","448","0.000014609947255930718","1.2718106902379638","RMSprop","6","0.00009623846678174106","31","0.8050955414012739","0.7400537858727796","0.7355985598559855","0.7451343131788303","0.5744236767292022","0.8521296165275223","0.8062127972295388","0.7975460157069663","0.8167470706492391","0.47807357762310954"
"11/08-00:21:35 - Trial_111","finished","-","","","2024-11-08T06:15:35.000Z","37","","true","96","53","448","0.000011556812172831124","1.2521009835242545","RMSprop","6","0.00009501889349765364","46","0.8004246284501062","0.7357596447669976","0.7362881938928054","0.7352390507714911","0.5939343810081482","0.8631668317532192","0.8180184063794693","0.8100438412005189","0.8273810345496269","0.45945449938645233"
"11/08-00:21:35 - Trial_110","finished","-","","","2024-11-08T06:15:15.000Z","19","","true","96","51","448","0.000022121023253305288","1.066761206583427","SGD","5","0.00007229482644859966","11","0.7116772823779193","0.4701508486791421","0.4920321539582682","0.49687397890118096","0.8642272305488586","0.7218055752087166","0.476996652470685","0.5086348173012806","0.5031579822155738","0.859399377494245"
"11/08-00:21:35 - Trial_109","finished","-","","","2024-11-08T06:14:35.000Z","38","","true","96","51","448","0.00001225744553857153","1.056057352738091","RMSprop","5","0.00006831878841148728","51","0.8076433121019109","0.7437419064728761","0.7378184682060897","0.7507999415351372","0.6002183496952057","0.8617518041601812","0.8235577205040077","0.809239981938392","0.8439021473514701","0.476889627205359"
"11/08-00:21:35 - Trial_108","finished","-","","","2024-11-08T06:14:10.000Z","23","","true","96","47","448","0.000023454859087239683","1.079015515872776","RMSprop","5","0.00006463845156698854","21","0.7953290870488323","0.7328338241496701","0.7275831828828399","0.7390989424887731","0.6100461089611053","0.8569407103438517","0.8150277456944601","0.8020475630070779","0.8327360418832366","0.485879580716829"
"11/08-00:21:35 - Trial_107","finished","-","","","2024-11-08T06:13:42.000Z","26","","false","64","49","512","0.00001358439626648214","1.204054616233085","Adagrad","1","0.0001373228424067294","12","0.7588110403397028","0.4314340898116852","0.3794055201698514","0.5","0.8137289027909975","0.7552002264044149","0.4302644308287649","0.37760011320220743","0.5","0.8149243024018433"
"11/08-00:21:35 - Trial_106","finished","-","","","2024-11-08T06:13:05.000Z","35","","true","96","48","448","0.000025795992886571737","1.4576797229179297","RMSprop","0","0.00017413949161171097","28","0.7898089171974523","0.7102542733284799","0.7172112568001117","0.7045270172388816","0.5782900059223175","0.916654874770058","0.8893207611236283","0.8805420049976882","0.8993399809538389","0.3051651843093537"
"11/08-00:21:35 - Trial_105","finished","-","","","2024-11-08T06:12:29.000Z","35","","true","96","50","448","0.00003820431398283434","1.1614591444470534","RMSprop","0","0.0002527227061728546","29","0.7881104033970276","0.7131280104110698","0.706958926827052","0.7207988802669263","0.6361769104003906","0.9145323333805008","0.8901961127306066","0.8760458783973046","0.9083159676509308","0.33440649992710836"
"11/08-00:21:35 - Trial_104","finished","-","","","2024-11-08T06:11:57.000Z","31","","true","96","48","448","0.000012878486824660709","1.1590476842387938","RMSprop","0","0.00014884040199392276","24","0.8101910828025478","0.7393079961298066","0.7428018519858207","0.7361016121152907","0.60082350730896","0.8546766661949908","0.8094819481495337","0.8004371512943527","0.8205403796295974","0.5199672656284796"
"11/08-00:21:35 - Trial_103","finished","-","","","2024-11-08T06:11:17.000Z","38","","true","96","48","448","0.000011903696772955918","1.4416075445940597","RMSprop","0","0.00013899025123903096","33","0.8093418259023355","0.7283317605413246","0.7357240657216495","0.7221029550088568","0.5428530025482178","0.8686854393660677","0.8237949434428652","0.8226887729506515","0.8249231658205507","0.4332098433294812"
"11/08-00:21:35 - Trial_102","finished","-","","","2024-11-08T06:10:45.000Z","30","","true","96","45","256","0.000017641525298072546","1.0799115823294436","RMSprop","1","0.00016244972157631902","30","0.7910828025477707","0.7227730637230037","0.7177460050462574","0.728740782043932","0.6125035953521728","0.8695344559218905","0.8324428012503143","0.8185022171402525","0.8515744108226038","0.4630968703611477"
"11/08-00:21:35 - Trial_101","finished","-","","","2024-11-08T06:10:09.000Z","34","","true","96","44","256","0.00001800688455218235","1.369996495108088","RMSprop","0","0.00021007783282701783","37","0.7910828025477707","0.7135858011568695","0.7135858011568695","0.7135858011568695","0.5682881772518158","0.8826942125371445","0.844047349523168","0.838932294834548","0.8496384936880005","0.4105195697094943"
"11/08-00:21:35 - Trial_100","finished","-","","","2024-11-08T06:09:31.000Z","37","","true","96","46","512","0.000014656512350463992","1.296055730333726","RMSprop","0","0.00011926256624260986","29","0.786411889596603","0.712177468753713","0.7075213675213675","0.7176572068321174","0.5838570308685302","0.8776001132022074","0.8417398615486726","0.8298984403966677","0.8568482045875663","0.4213357020068813"
