"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/07-22:54:51 - Trial_60","finished","-","","","2024-11-08T04:25:25.000Z","31","","false","128","40","448","0.001407333777543807","","RMSprop","9","0.40165981776738013","0.009982656186778176","23","0.7838641188959661","0.7070343575564408","0.706670414090313","0.7074027065301062","0.4306827281650744","0.8802886656289798","0.838807240627891","0.8367472268579703","0.8409395059115894","0.310914150838341"
"11/07-22:54:51 - Trial_59","finished","-","","","2024-11-08T04:24:55.000Z","28","","true","160","20","448","0.000353193549708138","","SGD","8","0.35791563289639866","0.00004183831932472057","20","0.6479830148619957","0.5111329409799752","0.5110810746202055","0.5112062452782674","0.5506446798642476","0.640299985849724","0.5240162007596953","0.5237576208983302","0.5244538059880322","0.5613112972842322"
"11/07-22:54:51 - Trial_58","finished","-","","","2024-11-08T04:24:28.000Z","25","","false","128","24","512","0.0023746576623614197","","RMSprop","10","0.4299343269962205","0.000011693126181582162","14","0.7690021231422506","0.7028738521939354","0.6952672032600985","0.7138542662587892","0.8245100567215368","0.9983019668883544","0.9976992821447755","0.9967271236573988","0.998680688149408","0.024097968375177255"
"11/07-22:54:51 - Trial_57","finished","-","","","2024-11-08T04:23:51.000Z","35","","false","160","37","448","0.01223112331881284","","Adadelta","10","0.31333689927099645","0.00005834827263008382","37","0.7401273885350318","0.6831019361375401","0.673373280772045","0.7140370075606844","0.456121955315272","0.7583132871090986","0.710380416338427","0.6992951248120411","0.7435898543285637","0.43718700607617694"
"11/07-22:54:51 - Trial_56","finished","-","","","2024-11-08T04:23:24.000Z","26","","false","224","22","512","0.0006892710254090729","","RMSprop","9","0.47914147234681775","0.000023818607987186056","12","0.7838641188959661","0.7009561111908045","0.69845450712107","0.7036798668521784","0.5203565521673723","0.9608037356728456","0.94771364329354","0.9452955946640372","0.9502011427201223","0.14171706652268767"
"11/07-22:54:51 - Trial_55","finished","-","","","2024-11-08T04:22:51.000Z","31","","false","192","25","512","0.06673887650786922","","RMSprop","10","0.38516016669089326","0.00003406954059799614","25","0.7736730360934183","0.6860776658382703","0.6831256383864346","0.6893850888315833","0.620637868459408","0.9712749398613272","0.9625571218165584","0.9514277995789652","0.9753615009721088","0.17705969552736026"
"11/07-22:54:51 - Trial_54","finished","-","","","2024-11-08T04:22:22.000Z","28","","false","160","24","512","0.04598197956164472","","RMSprop","10","0.39840714068022737","0.00004759512645085093","19","0.7906581740976646","0.7169099153642293","0.7175518979862936","0.716280399570555","0.584664273262024","0.9718409508985424","0.9628542992161656","0.950777786003965","0.9768553145516496","0.1587442997429106"
"11/07-22:54:51 - Trial_53","finished","-","","","2024-11-08T04:21:51.000Z","29","","false","192","28","512","0.031481263858918265","","RMSprop","9","0.4534087344743607","0.000057999223431684854","23","0.7804670912951168","0.7048515197346237","0.708225781662555","0.7018262987012986","0.6317600768346053","0.9855667185510116","0.9802725089689072","0.9802725089689072","0.9802725089689072","0.14171135365157514"
"11/07-22:54:51 - Trial_52","finished","-","","","2024-11-08T04:21:19.000Z","30","","false","160","28","512","0.03791252227732587","","RMSprop","6","0.4219183860762282","0.0001270681206916502","25","0.7936305732484077","0.7142920619958741","0.7185151112404671","0.7105383399550533","0.6473874231179555","0.9797651054195556","0.9727165140952254","0.970630937014242","0.9748486912172674","0.1664193343785074"
"11/07-22:54:51 - Trial_51","finished","-","","","2024-11-08T04:20:52.000Z","26","","false","160","32","512","0.005787926355731483","","RMSprop","4","0.3292806233591729","0.00008347527166882732","13","0.7685774946921444","0.7103346529330796","0.7008397047056973","0.7263845421539079","0.7271316369374593","0.9939153813499364","0.9917702792091768","0.9882763445065248","0.995389189748362","0.07328122514817449"
"11/07-22:54:51 - Trial_50","finished","-","","","2024-11-08T04:20:27.000Z","24","","false","160","31","512","0.005061061942254511","","RMSprop","10","0.3383271253134151","0.00010168464008313836","11","0.7719745222929937","0.7164661440216167","0.7064391628020503","0.7339127094636769","0.5833849151929219","0.9770765529927834","0.9693455618280064","0.960682573196275","0.978902068048104","0.10771764748626284"
"11/07-22:54:51 - Trial_49","finished","-","","","2024-11-08T04:19:56.000Z","29","","true","128","34","448","0.01262230726677287","","RMSprop","7","0.5328863394974199","0.00034513401325116815","20","0.7855626326963907","0.68424670427395","0.6982110115713971","0.6746546546546547","0.5869082698696538","0.98401018819867","0.9781756182084484","0.985396078326948","0.9714435718617735","0.12294917872973853"
"11/07-22:54:51 - Trial_48","finished","-","","","2024-11-08T04:19:29.000Z","25","","false","96","21","384","0.0001831607665357558","","SGD","3","0.1688687050080081","0.002065471525089576","11","0.24288747346072187","0.195421933720533","0.12144373673036092","0.5","0.6065211725234986","0.2443752653176737","0.19650202747196405","0.6221341636003397","0.5000936154278225","0.6079981657298835"
"11/07-22:54:51 - Trial_47","finished","-","","","2024-11-08T04:18:49.000Z","39","","false","128","48","320","0.0005031998948629469","","Adagrad","8","0.2071243282732163","0.00021646589376211843","43","0.7057324840764331","0.6770347071699417","0.6840734280231666","0.7446686726019662","0.42322804425892074","0.7883118720815055","0.7632086874971555","0.7580190357587617","0.844598804016374","0.3018183162701981"
"11/07-22:54:51 - Trial_46","finished","-","","","2024-11-08T04:18:17.000Z","30","","false","32","54","256","0.002825178428871858","","RMSprop","5","0.2851038006739019","0.00047506094232726984","12","0.7622080679405521","0.6956959950381003","0.6909225010652126","0.7017022792022792","0.6055961869455673","0.9770765529927834","0.9693105361331557","0.9594976546189492","0.9802826438299876","0.1159925871945884"
"11/07-22:54:51 - Trial_45","finished","-","","","2024-11-08T04:17:50.000Z","25","","true","192","38","384","0.0011594856394955384","","RMSprop","6","0.40500039694095297","0.00012294289938369297","13","0.7762208067940553","0.7055068814365535","0.6998090551870118","0.7126959551945531","0.642256878889524","0.9820291495684166","0.9759730000801784","0.9701062214515176","0.9822286893644848","0.09328993188368308"
