"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test F1-score","Test loss","Train F1-score","Train loss"
"11/07-02:34:17 - Trial_36","finished","-","","","2024-11-07T08:03:09.000Z","39","","true","64","25","256","0.0019872895696482745","3.297727394810589","Adagrad","0","0.6674334151784804","0.00008820440375672393","25","0.696166599644626","0.5494822851709418","0.994339318260717","0.07857668507206547"
"11/07-02:34:17 - Trial_35","finished","-","","","2024-11-07T08:02:12.000Z","55","","true","32","39","320","0.0002452548140235649","2.5218092425897582","SGD","5","0.7992301283403094","0.000018238725471136622","39","0.43102198598695335","0.6445384243050137","0.3314096499526963","0.6450509887475234"
"11/07-02:34:17 - Trial_34","finished","-","","","2024-11-07T08:01:17.000Z","53","","false","64","47","256","0.0006739755533090694","2.766481564711809","Adagrad","0","0.6324616365688069","0.00004440716480799981","47","0.6377906962772132","0.4583020012926411","0.8974982145344448","0.16751266760869069"
"11/07-02:34:17 - Trial_33","finished","-","","","2024-11-07T08:00:23.000Z","52","","true","64","48","256","0.0006775391210131977","2.7379509124916694","Adagrad","0","0.6333661940029839","0.00005091024023263371","48","0.7267602604627996","0.4599317126982921","0.955850940197665","0.17633913242602134"
"11/07-02:34:17 - Trial_32","finished","-","","","2024-11-07T07:59:16.000Z","65","","true","32","43","256","0.0000908311444274086","2.070731148886825","Adagrad","1","0.5335435626393057","0.00018591230414399297","43","0.717231412129509","0.5626209664183695","0.8170085578688746","0.5228739720663873"
"11/07-02:34:17 - Trial_31","finished","-","","","2024-11-07T07:58:29.000Z","45","","true","64","42","256","0.00026734877594492804","2.8302564790414872","Adagrad","3","0.5280581275793744","0.00005772723179181802","42","0.7272223810851017","0.46506366536423965","0.8464685101256624","0.3846863752549833"
"11/07-02:34:17 - Trial_30","finished","-","","","2024-11-07T07:57:52.000Z","35","","true","160","36","320","0.000043880584481187495","3.662326789699472","Adagrad","2","0.4541702755738872","0.00010907300576857468","36","0.5123307243640468","0.6380770206451416","0.6563514764536514","0.6272296852535671"
"11/07-02:34:17 - Trial_29","finished","-","","","2024-11-07T07:57:05.000Z","46","","true","64","42","256","0.00025036813881372055","2.8990599775035553","Adagrad","3","0.5098536937446125","0.00004391824276996628","42","0.7167303485169197","0.49158456679937","0.855755267812813","0.3989394712555516"
"11/07-02:34:17 - Trial_28","finished","-","","","2024-11-07T07:56:09.000Z","54","","true","96","53","384","0.00011885642208843418","2.3738222953347616","RMSprop","1","0.7353035361759486","0.0003874348944965075","53","0.6696051561321023","1.0815705180168151","0.9991508878090544","0.018910141435225267"
"11/07-02:34:17 - Trial_27","finished","-","","","2024-11-07T07:55:27.000Z","40","","true","128","47","320","0.00004087606198149987","2.1322514094544074","Adadelta","5","0.544732897509883","0.00021098907001161388","47","0.4332129963898917","0.7032680040911624","0.33393039666837165","0.6920756995677948"
"11/07-02:34:17 - Trial_26","finished","-","","","2024-11-07T07:54:28.000Z","57","","false","64","49","320","0.000010526609302283997","3.3980733149580433","Adagrad","0","0.6106796153944902","0.0012632502895669753","49","0.42700729927007297","0.6019414792189727","0.43173045995496945","0.5949201583862305"
"11/07-02:34:17 - Trial_25","finished","-","","","2024-11-07T07:53:42.000Z","45","","true","128","42","384","0.00014911629920470534","3.113160606569677","Adagrad","1","0.6649239940304709","0.0005452539382452573","42","0.6851443226577505","0.5043578257686213","0.7505809710592422","0.44156734751803534"
"11/07-02:34:17 - Trial_24","finished","-","","","2024-11-07T07:52:56.000Z","44","","true","96","49","320","0.00008149413953697573","2.5041854092488744","Adagrad","3","0.5574063978865302","0.0002785541456543253","49","0.7018776565023548","0.5702622747421264","0.7737904120967142","0.5373463932726834"
"11/07-02:34:17 - Trial_23","finished","-","","","2024-11-07T07:52:08.000Z","46","","true","128","49","320","0.00008681282546925738","2.402760764112951","Adagrad","1","0.5608243446860147","0.0002534860585759155","49","0.7293438225059767","0.5455590800235146","0.7834472372795132","0.5149287783673832"
"11/07-02:34:17 - Trial_22","finished","-","","","2024-11-07T07:51:22.000Z","44","","true","128","49","256","0.00009603432041552862","2.0694632293792843","Adagrad","1","0.5442488164526936","0.0001500150698480203","49","0.7202910499824148","0.564424571238066","0.8074759309456061","0.5166355068130153"
